Smiles,IC50_nM
Nc1ccc(-c2nc3ccccc3s2)c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)n1,9510

COc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,8

COc1cc(Nc2ncc(-n3cccn3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,6008

O=c1[nH]c(C2CCN(C3CCOCC3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,440

COC(=O)N1CCC(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,270

O=c1[nH]c(C2CCN(c3cnccn3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,180

NC(=O)CNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,3900

N=C(N)CNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,300

O=c1[nH]c(N2CCOCC2)nc(NCCN2CCNCC2)c1-c1nc2ccccc2s1,55

O=c1[nH]c(N2CCOCC2)nc(NCC2CCNCC2)c1-c1nc2ccccc2s1,330

O=c1[nH]c(N2CCOCC2)nc(NCCNCCO)c1-c1ccc2ccccc2n1,670

O=c1[nH]c(N2CCOCC2)nc(NCC2CCCCN2)c1-c1ccc2ccccc2n1,340

CC1(Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2ccc3ccccc3n2)CCCNC1,130

O=c1[nH]c(C2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,380

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2cccc(C(F)(F)F)c2)cs1,141

Cc1oc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)nc1NC(=O)OC(C)(C)C,875

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nccs1,1830

CC(C)Nc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NCCN1CCOCC1,12

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1Nc1cnn(CCCF)c1,1.3

COCCn1cc(Nc2cc(-n3cnc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,7.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CCCF)c1,2.4

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC12CCC(O)(CC1)C2,14.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC12CCC(O)(CC1)C2,1.2

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(O)C1,1.6

CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCCOC1,1.6

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)Nc1ccc(CN2CCOCC2)cc1,6.8

CNC(=O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC(C)C,9.6

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NCCCOC(C)(C)C,5.5

CC(C)Nc1cc(-n2cnc3cnc(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.7

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@](O)(c2ccncc2)CC1,2.8

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCCc1ncn[nH]1,14.8

CC(C)(CO)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,4.7

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)Nc1ccc(N2CCN(C)CC2)cn1,7.3

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CCCN(S(C)(=O)=O)C1,19.8

CC(C)Nc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NCC(F)C1(O)COC1,6.3

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1F,1.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(C#N)c1F,2.1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)(F)F)c1,2.1

CCCn1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,2.9

CC(C)NC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1,11.2

Cn1nccc1Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,17.5

CC(O)CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,2.3

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2nn[nH]c2c1,1.8

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC(C)NS(C)(=O)=O,6.5

c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,216

Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,6

c1cc(-c2cnc3ccccn23)nc(N2CCCNCC2)c1,487

NC1CCN(c2cccc(-c3cnc4ccccn34)n2)CC1,1880

c1cc(NCC2CCNCC2)nc(-c2cnc3ccccn23)c1,3030

COCc1nn(C)cc1NC(=O)c1cnn2ccc(N[C@@H]3CCCC[C@@H]3N)nc12,6

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4O)nc23)c(C(F)F)n1,4

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC(F)(F)[C@@H]4N)nc23)c(C(F)(F)F)n1,23

COCC1CN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CCO1,81

CC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,69

O=c1[nH]c(N[C@@H]2CCCNC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,5123

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc(-c2ccc(F)cc2)cs1,5.6

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,19

COc1cc(N2CCOCC2)ccc1NC(=O)c1cccc(-c2ccn[nH]2)n1,20

CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1,430

CCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(C)C,15

CNC(=O)CN1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,3000

Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)(F)F)n1,44

CN(C)c1cccc(Nc2ncc(-c3nc4cnccc4s3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)c1,12

OC[C@H]1C[C@@H](Nc2nc(Nc3cncnc3)ncc2-c2nc3cnccc3s2)[C@H](O)[C@@H]1O,12

Cc1cc(Nc2ncc(-c3nc4cnccc4s3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,3

COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C(C)(C)C#N)nc34)CC2)CC1,69

COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,0.29

CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,4.21

CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cccnc5)ccc4n3)cn2)CC1,1

Cc1ncncc1-c1nc2c(OC3(C)CC3)nc(Nc3cnn(C4CCN(C)CC4)c3)nc2cc1F,15

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(S(N)(=O)=O)c1,1.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2nc[nH]c2c1,2.6

CC[C@@H](C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.6

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC(C)NS(C)(=O)=O,2.4

CC(C)(C)NC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1,17

CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2Nc2cnn(CC(F)F)c2)CC1,8.6

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(C#N)cnc32)cc1Nc1cnn(C(F)F)c1,5.7

O=c1[nH]c(N2CCc3cnccc3C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,26.4

O=c1[nH]c(N2CCC(c3ccccn3)C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,197

O=c1[nH]c(N2CCOCC2)nc(N[C@H]2CCNC2)c1-c1nc2ccccc2s1,620

O=C1CC[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)CN1,450

Cc1csc(-c2c(N[C@@H]3CCCNC3)nc(N3CCOCC3)[nH]c2=O)n1,554

O=c1[nH]c(N2CCOCC2)nc(NC2CCCC(O)C2)c1-c1nc2ccccc2s1,1803

COc1ccc(N2CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)CC2)nc1,5

CS(=O)(=O)c1ccc(N2CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)CC2)c(Cl)c1,11

O=c1[nH]c(N2CCN(c3ccc(Cl)c(Cl)c3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,57

Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1.Cl,0.32

OC[C@H]1C[C@@H](Nc2nc(Nc3cncnc3)ncc2-c2nc(-c3ccccc3)cs2)[C@H](O)[C@@H]1O,94

Cc1cc(Nc2ncc(-c3nc(-c4ccccc4)cs3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,11

O=c1[nH]c(N2CCc3ccccc3C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,27

O=c1[nH]c(N2CCCCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,43

CCN(CC)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,3000

Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,0.7

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCCOC1,11.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2cnc3cc(C#N)cnc32)cc1NC1CCOCC1,7.4

CC(C)Nc1cc(-n2cnc3cnc(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)F,3.6

CC(C)Nc1cc(-n2ncc3cnc(NC[C@@H](F)C(C)(C)O)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,18.5

CC1(Nc2cc(-n3cnc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,3.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(-n2cncn2)cc1,2.1

CC(=O)N[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC2CCOCC2)CC1,7.1

CC1(CNc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)COC1,5.7

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(O)C1,1.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(O)C1,2.5

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCc1nc(Cc2ccccc2)no1,4.5

CC[C@@H](C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,2.8

CC(C)(F)CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC(C)(C)C,3.4

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@@H]1CC[C@@H](C(C)(C)O)OC1,7.1

CC(Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O)C(F)(F)F,4.1

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC1CCC(C(C)(O)C2CC2)CC1,3.9

c1cc(-c2cnc3ccccn23)nc(N2C[C@H]3C[C@@H]2CN3)c1,126

c1cc(N[C@H]2CCCNC2)nc(-c2cnc3ccccn23)c1,19

Cn1nccc1Nc1cccc(-c2cnc3ccccn23)n1,1134

COc1ccc(-c2ccc3ncc(-c4cccc(NC5CCNCC5)n4)n3c2)cn1,8

COc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,6

Clc1ccc2ncn(-c3cccc(NC4CCNCC4)n3)c2c1,3

Cc1ncc(-c2nc3c(NC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1,0.6

CCN(Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO.Cl,8

CNC(=O)c1cnc(Nc2ccc3[nH]ncc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,1600

c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,35

O=C(Nc1cc2cccnc2cc1N1CCCCC1)c1csc2cncnc12,12

COc1cc2ncccc2cc1NC(=O)c1csc2cc(CO)cnc12,35

NC(=O)C1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,69

O=C1Cc2cc(N3CCCCC3)c(NC(=O)c3cnn4cccnc34)cc2N1,98

O=C(Nc1cc2ccccc2cc1OC1CCC(O)C1)c1cnn2cccnc12,177

CSc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,798

O=C(Nc1ccccc1-c1ccccc1)c1cnn2cccnc12,1224

O=C(Nc1cc(Cl)ccc1Oc1ccc(O)cc1)c1cnn2cccnc12,2221

O=c1[nH]c(N2CC3(COC3)C2)nc(NC2CCCNC2)c1-c1nc2ccccc2s1,25

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2cc(C(F)(F)F)ccc2s1,70

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2cccc(Cl)c2s1,180

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2cc(C3CC3)ccc2s1,330

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,2.6

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CCN(C)CC1,2.6

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,300

C[C@@H]1CC[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)CN1,93

O=c1[nH]c(N2CCOCC2)nc(NC2CCNCC2)c1-c1nc2ccccc2s1,121

CN1CCC[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)C1,354

NC(=O)c1cnc(Nc2ccccc2)cc1N[C@H](CO)Cc1ccccc1,730

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1,10

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CC(F)(F)CC[C@@H]4N)nc23)c(C(F)F)n1,38

Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1,7

COc1ccc2c(c1)ncn2-c1cccc(NC2CCNCC2)n1,208

Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,56

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1Nc1cnn(CC(F)(F)F)c1,1.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CC1,1.6

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCCC1,1.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(Cl)cnc32)cc1NC1CCC1,3.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(Cl)cnc32)cc1NC1CCOCC1,1.9

CCNc1cc(-n2ccc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,7.1

CC(C)Nc1cc(-n2ccc3cc(Cl)ccc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,11.8

COC(=O)CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC(C)C,10.3

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NCCNS(C)(=O)=O,4.1

CCOP(=O)(CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC(C)C)OCC,16

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)Nc1cnc(N2CCOCC2)nc1,6.7

CC(=O)N[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cncnc43)cc2NC2CCOCC2)CC1,4.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2ncoc2c1,1.9

Cn1cc(-c2ccc3ncc(-c4cccc(NC5CCNCC5)n4)n3c2)cn1,7

Clc1ccc2c(c1)ncn2-c1cccc(NC2CCNCC2)n1,112

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC[C@@H](F)C(C)(C)O,2.4

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC1CCN(C(=O)C2CN(S(C)(=O)=O)C2)CC1,10

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](NC(=O)[C@@H](C)O)CC1,8.2

CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NCCC1CC1,6.3

C[C@@H](CO)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1CC1,7.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CC1,3.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1Nc1cnn(CC(F)F)c1,2.3

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(F)CC1,3

CC(C)Nc1cc(-n2ccc3cccnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,4.3

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,7.6

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCCC(F)(F)C1O,5

CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2N[C@@H](C)CF)CC1,16

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)NC(C)C,4.1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(CO)CF,6.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@@H]1CCN(c2ncccn2)C1,6.8

CCc1cc(Nc2ncc(C(=O)NC)c(N[C@H](CO)c3ccccc3)n2)ccc1C#N,38

CN1CCC(c2nnc(-c3cnc(Nc4ccc5c(c4)C(C)(C)OC5=O)nc3N[C@H](CO)c3ccccc3)o2)CC1,170

O=c1[nH]c(N2CCOCC2)nc(NC(CO)CO)c1-c1nc2ccccc2s1,110

CN1CCCC(Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2ccc3ccccc3n2)C1,720

CN(c1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1)[C@H](CO)c1ccccc1,250

O=c1[nH]c(NCCO)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,450

Nc1ccc2c(c1)CN(c1nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]1)CC2,49

O=c1[nH]c(N2CCc3ccccc3C2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2ccc(F)cc2)cs1,57

CCc1noc(-c2cnc(Nc3ccc4c(c3)C(C)(C)OC4=O)nc2N[C@H](CO)c2ccccc2)n1,1500

CC(C)Nc1cc(-n2ccc3cnc(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.3

CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2N[C@@H](C)CO)CC1,3.3

CC(C)n1cc(Nc2cc(-n3ncc4cc(Cl)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,3.5

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,1.4

CC(C)(O)CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCOCC1,14.8

COc1cc2c(OC[C@@H]3CCC(=O)N3)ccnc2cc1C(N)=O,5.9

CC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,9

COC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,373

COc1cc2c(OC[C@H]3NC(=O)[C@@]4(F)[C@@H]3[C@@H]4C)nccc2cc1C(N)=O,16.8

O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,200

CC(C)Oc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,27

OC[C@H]1C[C@@H](Nc2nc(Nc3ccnc(OC4CC4)c3)ncc2-c2ccc3ccccc3n2)[C@H](O)[C@@H]1O,44

Cc1cc(Nc2ncc(-c3nc4ccncc4s3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,12

OC[C@H]1C[C@@H](Nc2nc(NC3CC3)ncc2-c2nc3cnccc3s2)[C@H](O)[C@@H]1O,647

c1ccn2c(-c3ccnc(OC4CCNCC4)n3)cnc2c1,1189

O=c1[nH]c(N2CCOCC2)nc(NCCN2CCCC2)c1-c1ccc2ccccc2n1,4900

O=c1[nH]c(N[C@@H]2c3ccccc3C[C@@H]2O)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,1200

CN(Cc1ccccc1)c1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1,310

O=C(O)C1CN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CCO1,250

O=C(NC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1)OCc1ccccc1,100

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2cc(Cl)ccc2s1,8

N#Cc1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1,5

O=c1[nH]c(N2CCc3ccccc3C2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2ccc(F)cc2)cs1,5400

N[C@@H]1CCCC[C@@H]1Nc1cccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc12,70

N[C@H]1CCCC[C@H]1Nc1cccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc12,2

O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nccs1,1114

O=c1[nH]c(N2CCOCC2)nc(N[C@H]2CCCNC2)c1-c1nc2ccccc2s1,255

CS(=O)(=O)c1cc(F)ccc1N1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,14

Cn1cc(N2CCN(c3nc(N[C@@H]4CCCNC4)c(-c4nc5ccccc5s4)c(=O)[nH]3)CC2)cn1,20

O=c1[nH]c(N2CC3CC3C2)nc(N[C@@H]2CCCNC2)c1-c1ccc2ccccc2n1,34

O=c1[nH]c(N2CC[C@H](CO)C2)nc(N[C@@H]2CCCNC2)c1-c1ccc2ccccc2n1,15

COC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3ccc4ccccc4n3)c(=O)[nH]2)C1,26

COc1ccccc1NC(=O)c1csc(-c2cccnc2)n1,800

CCCCn1c(NC(=O)c2ccc(OC)cc2)nc2ccccc21,6500

O=C(Nc1cccc(NCCO)c1N1CCCCC1)c1cnn2cccnc12,1029

COc1cc(C(=O)NCCO)ccc1NC(=O)c1csc2cncnc12,1619

COc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,1633

CC[C@@H](CO)Nc1ncc2scc(C(=O)Nc3cc(Cl)ccc3OC)c2n1,2226

COc1cc(C(=O)NCCO)ccc1NC(=O)c1cnn2cccnc12,2961

CNCC1CCN(c2ccc(Cl)cc2NC(=O)c2csc3cncnc23)CC1,3545

COc1cc(C(=O)Nc2ccccc2)c(Cl)cc1NC(=O)c1cnn2cccnc12,7915

COc1cc(CO)ccc1NC(=O)c1cnn2cccnc12,8673

